title,genre,original_language,release_date,ratings
Amadeus,"History,Music,Drama",en,1984-09-19,8.0
The Boy and the Beast,"Animation,Fantasy,Action,Adventure,Drama",ja,2015-07-11,8.0
No Manches Frida 2,Comedy,es,2019-03-15,8.0
Where Hands Touch,"War,Drama,Romance",en,2018-09-14,8.0
Autumn Sonata,Drama,sv,1978-10-08,8.0
Harry Potter and the Prisoner of Azkaban,"Adventure,Fantasy",en,2004-05-31,8.0
The Thing,"Horror,Mystery,Science Fiction",en,1982-06-25,8.0
Bohemian Rhapsody,"Music,Drama,History",en,2018-10-24,8.0
On the Waterfront,"Crime,Drama",en,1954-06-22,8.0
The Imitation Game,"History,Drama,Thriller,War",en,2014-11-14,8.0
Like Stars on Earth,Drama,hi,2007-12-21,8.0
Casino,"Crime,Drama",en,1995-11-22,8.0
Belle,"Animation,Drama,Science Fiction,Music",ja,2021-07-16,8.0
The Mitchells vs. the Machines,"Animation,Adventure,Comedy",en,2021-04-22,8.0
Hachi: A Dog's Tale,"Drama,Family",en,2009-06-08,8.0
Pink Floyd: The Wall,"Music,Drama",en,1982-07-14,8.0
The Way He Looks,"Drama,Romance",pt,2014-03-28,8.0
The Secret in Their Eyes,"Crime,Drama,Mystery",es,2009-08-13,8.0
Tae Guk Gi: The Brotherhood of War,"Action,Adventure,Drama,History,War",ko,2004-02-05,8.0
Forgotten,"Thriller,Mystery,Drama,Horror,Crime",ko,2017-11-29,8.0
Gone with the Wind,"Drama,War,Romance",en,1939-12-15,8.0
A Whisker Away,"Animation,Drama,Romance,Fantasy",ja,2020-06-18,8.0
Paperman,"Animation,Family,Romance",en,2012-11-02,8.0
Gran Torino,Drama,en,2008-12-09,8.0
Barry Lyndon,"Drama,Romance,War",en,1975-11-26,8.0
La Notte,"Drama,Romance",it,1961-01-24,8.0
Ford v Ferrari,"Drama,Action,History",en,2019-11-13,8.0
Sanjuro,"Drama,Action,Comedy",ja,1962-01-01,8.0
When Marnie Was There,"Animation,Drama",ja,2014-07-19,8.0
North by Northwest,"Mystery,Thriller",en,1959-07-08,8.0
Dangal,"Drama,Action",hi,2016-12-21,8.0
My Way,"Drama,Action,History,War",ko,2011-12-21,8.0
Scooby-Doo! and the Curse of the 13th Ghost,"Comedy,Family,Animation,Adventure,Mystery",en,2019-02-05,8.0
Rope,"Crime,Drama,Thriller",en,1948-03-11,8.0
Raging Bull,"Drama,History",en,1980-11-14,8.0
The Third Man,"Thriller,Mystery",en,1949-08-31,8.0
Operation Y and Other Shurik's Adventures,Comedy,ru,1965-08-16,8.0
The Exterminating Angel,"Comedy,Drama,Fantasy",es,1962-05-16,8.0
The Shop Around the Corner,"Comedy,Drama,Romance",en,1940-01-12,8.0
Castaway on the Moon,"Drama,Comedy,Romance",ko,2009-05-14,8.0
Limelight,"Drama,Music,Romance",en,1952-10-23,8.0
Raya and the Last Dragon,"Animation,Family,Fantasy,Action,Adventure",en,2021-03-03,8.0
Inner Workings,"Animation,Family,Comedy",en,2016-11-23,8.0
Cries and Whispers,Drama,sv,1972-12-21,8.0
"Remi, Nobody's Boy","Adventure,Family,Drama",fr,2018-12-12,8.0
"Batman: The Dark Knight Returns, Part 2","Science Fiction,Action,Animation,Mystery",en,2013-01-03,8.0
Words on Bathroom Walls,"Drama,Romance",en,2020-08-21,8.0
Army of Shadows,"War,Drama,Thriller",fr,1969-09-10,8.0
An Egg Rescue,"Animation,Comedy",es,2021-08-12,8.0
Bad Genius,"Comedy,Drama,Crime,Thriller",th,2017-05-03,8.0
3 Idiots,"Drama,Comedy",hi,2009-12-23,8.0
Trainspotting,"Drama,Crime",en,1996-02-23,8.0
1917,"War,Drama,Action,Thriller,History",en,2019-12-25,8.0
Lawrence of Arabia,"War,History,Adventure,Drama",en,1962-12-11,8.0
It's Such a Beautiful Day,"Drama,Animation,Comedy",en,2012-08-24,8.0
Castle in the Sky,"Adventure,Fantasy,Animation,Action,Family,Romance",ja,1986-08-02,8.0
Scooby-Doo! Camp Scare,"Animation,Comedy,Family,Mystery",en,2010-09-14,8.0
Divorce Italian Style,Comedy,it,1961-12-20,8.0
La Strada,Drama,it,1954-09-23,8.0
Kill Bill: Vol. 1,"Action,Crime",en,2003-10-10,8.0
Three Men and a Leg,Comedy,it,1997-12-27,8.0
A Trip to the Moon,"Adventure,Science Fiction",fr,1902-04-17,8.0
Three Colors: Red,"Drama,Mystery,Romance",fr,1994-05-12,8.0
Girl in the Basement,"Crime,Thriller",en,2021-02-27,8.0
What Ever Happened to Baby Jane?,"Drama,Horror,Thriller",en,1962-10-12,8.0
Raise the Red Lantern,Drama,zh,1991-12-18,8.0
Toy Story,"Animation,Adventure,Family,Comedy",en,1995-10-30,8.0
The Battle of Algiers,"Drama,War,History",it,1966-09-08,8.0
Throne of Blood,"Drama,History",ja,1957-01-15,8.0
Million Dollar Baby,Drama,en,2004-12-15,8.0
My Father's Violin,"Drama,Music",tr,2022-01-21,8.0
Kill Bill: The Whole Bloody Affair,"Action,Crime,Thriller",en,2011-03-27,8.0
My Hero Academia: Two Heroes,"Animation,Action,Adventure,Fantasy",ja,2018-08-03,8.0
The Cameraman,"Comedy,Romance,Drama,Family",en,1928-09-10,8.0
Before Sunrise,"Drama,Romance",en,1995-01-27,8.0
Children of Heaven,"Drama,Family",fa,1997-08-01,8.0
Where Is My Friend's House?,"Drama,Family",fa,1987-07-01,8.0
The Tomorrow War,"Action,Science Fiction,Adventure",en,2021-07-02,8.0
The Cabinet of Dr. Caligari,"Drama,Horror,Thriller,Crime",de,1920-02-27,8.0
Akira,"Animation,Science Fiction,Action",ja,1988-07-16,8.0
Amarcord,"Comedy,Drama",it,1973-12-13,8.0
Catch Me If You Can,"Drama,Crime",en,2002-12-25,8.0
12 Years a Slave,"Drama,History",en,2013-10-18,8.0
La Maison en Petits Cubes,Animation,ja,2008-06-10,8.0
The Postman,"Comedy,Drama,Romance",it,1994-04-07,8.0
The Great Escape,"Adventure,Drama,History,Thriller,War",en,1963-06-20,8.0
Close to the Horizon,"Drama,Romance",de,2019-10-10,7.9
Us Again,"Animation,Romance,Drama",en,2021-03-03,7.9
Flipped,"Romance,Drama",en,2010-08-06,7.9
Invisible Life,Drama,pt,2019-08-30,7.9
Dallas Buyers Club,"Drama,History",en,2013-11-01,7.9
The Black Phone,"Horror,Thriller",en,2022-06-22,8.0
The Boy Who Harnessed the Wind,"Drama,History,Family",en,2019-02-14,7.9
The Sixth Sense,"Mystery,Thriller,Drama",en,1999-08-06,7.9
Just Mercy,"Drama,Crime,History",en,2019-12-25,7.9
Tel chi el telùn,Comedy,it,1999-05-12,7.9
Up,"Animation,Comedy,Family,Adventure",en,2009-05-28,7.9
Teen Titans Go! vs. Teen Titans,"Action,Animation",en,2019-07-21,7.9
Charm City Kings,Drama,en,2020-01-27,7.9
The Greatest Showman,Drama,en,2017-12-20,7.9
Ghost in the Shell,"Action,Animation,Science Fiction",ja,1995-11-18,7.9
Mr. Smith Goes to Washington,"Comedy,Drama",en,1939-10-19,7.9
